text,year
"""According to its credo, Johnson & Johnson shouldn't be knowingly issuing the product, even if it wasn't dangerously defective.",2001
"The Treasury Department said it was also imposing sanctions on eight Iranian military commanders, including the head of a unit that the Americans say was responsible for shooting down an American drone last Thursday.",2019
"Both parties were still trying to digest the ramifications of a remarkable uprising led by House Republicans, who said on Thursday that they could not support the administration's plan.",2008
"State officials listed the biological mother on the children's birth certificates and refused to list their partners, saying they were not entitled to a husband's presumption of paternity.",2017
"The service, where politicians like Mr. Trump freely post messages, has said it will be lenient with world leaders who appear to violate its policies against violent speech on the site because it believes that preserving those tweets serve the public interest.",2019
"Democrats leading the impeachment investigation are targeting the president's acting chief of staff, citing evidence he may have been ""directly involved"" in Mr. Trump's pressure campaign on Ukraine.",2019
"In United States v. Skowron, the federal appeals court in Manhattan upheld an order requiring Joseph F. Skowron III to repay Morgan Stanley $3.8 million in legal fees from its internal investigation, which helped the S.E.C. in the insider trading case that resulted in a guilty plea.",2018
"Several activists said the findings were unsurprising, but welcome.",2017
The presidential commission that investigated the accident reported that Halliburton officials knew before the explosion that the cement mixture they planned to use to seal the bottom of the well was unstable but still went ahead with the cementing.,2013
"Mr. Trump's cabinet nominees are being meticulously prepared for their meetings with senators and for confirmation hearings, several senators said.",2017
"Steven Schale, a Democratic strategist who managed the Obama campaign two years ago, said Ms. Sink now faces a classic Florida fight, where independents and moderates in the I-4 corridor between Orlando and Tampa are likely to play a deciding role.",2010
Many environmental advocates claim that a large number of fuels grown from crops do not merit public subsidies or production incentives.,2010
"According to Ms. Trump, his daughter, Donald Trump went to the movies that night and Fred Trump Sr. did not visit him.",2020
"As a starting point, the new comptroller should not be an Albany insider.",2006
"Analysts say the criticism -- from a broad coalition that includes the the United States Chamber of Commerce, the Business Roundtable, the National Association of Manufacturers and the National Retail Federation -- has helped shift the debate and has created an uphill fight for the Senate bill.",2002
Mr. Friedman speculated that having two primary opponents might aid his prospects by splitting the anti-Kinky vote -- the existence of which he is aware.,2014
Prime Minister Haider al-Abadi of Iraq said on Thursday that oil exports accounted for 85 percent of his government's budget and that the precipitous drop in prices was posing a fresh challenge to the Iraqi government as it was trying to push back Islamic State militants.,2015
"Some Iranian citizens also blame the United States government for the devastation of their economy, and they point to the shortage of critical medicine, even though Trump administration officials say they do not intend to limit humanitarian aid.",2019
"""Millions of Americans rely on cable connectivity to receive the programs they love and to access the Internet at the fast speed needed as we conduct more of our lives online,"" Mr. Leahy said in announcing the hearing.",2014
"That is particularly critical, one Bloomberg aide said, in appealing to white Democrats who supported Mr. Giuliani, but are now backing Mr. Green, to the concern of Mr. Bloomberg's campaign advisers.",2001
"Researchers first began tracking the campaign -- which they call ""Ke3Chang"" after a reference buried in the malware code -- in 2011.",2013
"It had 1.4 million unique visitors in August, down 42 percent from a year earlier, according to Comscore data provided by The Righting, which analyzes viewership of right-leaning outlets.",2020
"According to the O.E.S., in 1999 there were nearly 53,000 Americans who considered their primary occupation to be that of a musician, a music director or a composer; in 2014, more than 60,000 people were employed writing, singing or playing music.",2015
Mr. Levy has a modest point when he says that new machines are expensive and have flaws.,2006
"But Ms. O'Connor said the policies and positions that have made Mr. Schwarzenegger so popular in California -- his support for abortion rights and civil unions for gay couples, and his advocacy of strong environmental laws -- were at odds with much of the Republican platform and voter base.",2004
"None of his top political advisers are traveling with him, and his campaign has been careful to route questions about it to his Senate office.",2008
""" As it turns out, the Frosts say, Graeme attends the private school on scholarship.",2007
"As many as five more officials are expected to testify in closed session this week, including Lt. Col.",2019
"According to its supporters, the bill now has 93 co-sponsors out of 203 lawmakers in the House, and 25 out of 50 in the Senate.",2013
"And in New York City, Latinos are dying from the coronavirus at twice the rate of white people, according to preliminary data released by city officials.",2020
"But, Mr. Klein would recall, he always told the staff to play the coverage straight while he was on leave, warning that anyone who slanted coverage to favor Nixon would be in trouble.",2009
"And some of her colleagues, including fellow Democrats, say that lately she has been a little bit out of control.",2006
"Aloof, they call him.",2001
"Some economists say a slow recovery is inevitable, given the damage done by the financial crisis.",2010
"The Nobel Prize-winning economist Paul Romer envisions an even higher number: He wants the country to be able to test every American for the virus once every two weeks, which works out to 25 million tests per day.",2020
"Last year, a record $560 billion of residential property was sold in China, an increase of 80 percent from the year before, according to government statistics that are widely considered reliable.",2010
Police officials said the leak of the photos to Ms. Moore was a violation of the department's patrol guide.,2020
"And political strategists said that although many voters' opinions on abortion were immovable, Monday's ruling had vaulted it back into the national conversation after months of focus on the coronavirus and racial inequality.",2020
But researchers say firearm homicide has ticked upward recently and also helps explain the rise in gun deaths since 2015.,2018
"When the program was first developed, state officials said, they insisted on giving banks a role in doling out the grants in part to make sure people did not walk away from their damaged houses.",2007
Why have the more pessimistic predictions not come to pass?,2015
"""His job is to keep out of her view, and her job is to go after him,"" said Hank Sheinkopf, a consultant not involved in the race.",2005
"Mr. Pataki's advisers and allies play down many of those specifics as isolated cases, but even they acknowledge that, in all, New York has become unfriendly turf for Republicans.",2001
Vice President Joseph Biden regularly called Iraqi officials for freewheeling conversations and visited Baghdad to try to push the process toward a conclusion.,2011
"WASHINGTON -- A rocky process has plagued President Trump's attempt to renegotiate the North American Free Trade Agreement from the start, as internal divisions and a thinly staffed bureaucracy often left big American companies with much at stake shut out of deliberations, according to internal administration emails.",2018
"Ms. Capp, the math teacher, said that soon afterward, her friend had told her the same story about Mr. Trump that she later told publicly.",2020
"That the United States has signaled its readiness to discard those international guidelines with Iraq that in the end made it far easier for Russia to oppose its partner, several analysts noted today.",2003
"American counterterrorism officials have voiced increasing concern that the Islamic State, as well as Al Qaeda and its affiliates, is inspiring, but not necessarily directing, a greater number of so-called lone-wolf attacks -- like the terrorist attacks last year in Ottawa and Sydney, Australia.",2015
"The cost could be great, they said, but most likely smaller than the damage to the economy that would result from a single shoot-down.",2005
"COLUMBIA, S.C. -- In South Carolina's capital, officials declare that their tree-lined Main Street, clogged with shops, banks, restaurants and hotels, is evidence that a long-sought economic revival has arrived.",2013
"Renegade delegates forced a floor fight in an effort to embarrass him, and his top aide called Ohio's governor ""petulant"" for not endorsing Mr. Trump.",2016
A Kerry adviser said that the senator fully expects Mr. Nader to remain in the race and thus sees no point in trying to push him from it.,2004
"That effort is opposed by Republicans on Capitol Hill, who have argued that further disclosure would be an invasion of privacy and allow donors' political opponents to target them for boycotts and other retaliation.",2012
Mr. Weinberger said he did not yet have an estimate of how much money was involved.,2001
"Healthy children become productive adults, the speaker said.",2007
"When she asked Mr. Davidson what she should do if her story leaked, he responded in an email, ""IF YOU DENY YOU ARE SAFE,"" and urged her to sign as soon as possible, according to the court documents.",2018
"Mr. Lynch and an aide to another member of the delegation said Thursday that investigators were considering whether epoxy was stored at temperatures so cold it might have damaged its effectiveness, whether vibration from blasting at a nearby construction project helped shake bolts loose, whether substandard epoxy or improper drilling equipment were used, or whether workers did not puncture holes correctly and filled them with too much or too little epoxy.",2006
"In fact, according to Gallup, at this point in the race, Democrats are more enthusiastic about Obama than Republicans are about Romney.",2012
"Union leaders took offense at the suggestion and said a resolution was not imminent, meaning that more than 300,000 students would remain out of class.",2019
"But he said the west entrance here could handle an increase in the number of cleaner snowmobiles, though he cautioned that the number should be left to the experts.",2006
"Inside the department, law enforcement officials said Mr. Rosenstein helped usher in the sort of tough-on-crime policies that he supported during his 12 years as the top federal prosecutor in Maryland.",2019
"According to old friends, Ms. Trump -- who, along with her husband, declined repeated requests for an interview for this article -- is keeping a stiff upper lip.",2016
Analysts supportive of Mr. Erdogan's government contend that Mr. Zarrab's fate is of limited interest to the Turkish state.,2017
"Although three senior officials in Phoenix were put on administrative leave, and two top health officials at the agency have resigned, there is still much that is unclear about not only the problems in Phoenix but the rest of the system.",2014
"The program is helping the city be more credible to skeptics, said the mayor, who invited state government leaders to a session on fighting drugs.",2001
"Mr. Biden's advisers have emphasized that he intends to participate in any debate that takes place, noting that the scheduled format is town-hall-style, and they have said that the former vice president wants the chance to interact with voters.",2020
"His intensity can be off-putting, some former colleagues say, although he is said to have mellowed somewhat since his days in the Clinton White House.",2008
"""Today's decision invalidating one of its core provisions upsets decades of well-established practices that help make sure voting is fair, especially in places where voting discrimination has been historically prevalent.""",2013
"""It's always been difficult for presidents,"" said Peter D. Feaver, an expert in civilian-military relations at Duke University, ""but in some ways, it's become more difficult as the number of casualties dwindled, so each one can be individualized to a much greater extent.",2017
"""The chances of Workhorse's affiliate successfully getting the plant transferred and retooled are extremely small,"" said Sam Abuelsamid, principal auto analyst at Navigant Research.",2019
"Less than a year after being widely viewed as a front-runner in the Democratic field largely because of his foreign-relations expertise and his questioning of Mr. Bush on Iraq, Mr. Kerry still has to defend himself in the area that was supposed to be his greatest strength.",2003
"Ray Mabus, the former Democratic governor of Mississippi from 1988 to 1992, said that it was the ""moral imperative"" for state officials to speak up about getting the supplies and support needed.",2020
"Justice Sotomayor wanted to provide an answer to whether there is a constitutional right to same-sex marriage, while the other two women said the court was powerless to decide the question in the context of a challenge to California's ban on the practice.",2013
"Because of the complicated counting, experts expect that just first-choice results will be available on election night, leading some critics to complain that the ""instant"" is being taken out of instant-runoff voting.",2004
"""This is an opportunity year for the Democrats, and that's more true now than it was two weeks ago,"" said Tim Storey, an elections expert with the National Conference of State Legislatures who tracks state legislative contests.",2016
"An article on Monday about a bombing on a military base north of Damascus, Syria, that killed 31 soldiers, according to an antigovernment monitoring group, paraphrased incorrectly from a comment about the number of Syrian refugees said to have crossed into the Lebanese border town of Aarsal to escape fighting between rebels and the government.",2013
"Details matter, our experts said.",2019
"And despite all the billions spent on campaigns, past models tell us the outcome will be greatly influenced by the state of the economy and the popularity of the incumbent, two factors beyond the control of any campaign.",2015
"Some have been pushing the United States to impose punitive sanctions to force Caracas to heel, but experienced United States officials have emphasized the risks and the likelihood that heavy-handed interventionism will be counterproductive.",2017
"The governor presided over the exchange, which lasted more than an hour, according to Mr. Appelbaum and one other person present.",2019
"All nine justices agreed that the particular suit before them had to be dismissed, largely because every significant aspect of the case was foreign: the plaintiffs were Nigerian, the companies they sued were based in England and the Netherlands, and the atrocities the companies were said to have aided took place in Nigeria.",2013
"Analysts regard him as likely to continue the Fed's gradual unwinding of that campaign, although perhaps pressing to raise interest rates a little more quickly.",2017
"During that time, aides said, he was simply too busy to tweet.",2017
"The signs were ""inappropriate,"" said his spokesman, and the use of Hitler comparisons by such people as Rush Limbaugh, said Mr. Cantor, ""conjures up images that frankly are not, I think, very helpful.",2009
Ms. Fulco said the governor managed to transcend politics by casting herself as someone who would act sensibly in hard times.,2009
"And government officials who would speak only anonymously say that Mr. Dimon, faulted in the Senate report for strong-arming regulators, is also losing sway with some authorities in Washington.",2013
Participants in today's discussions say they will be delayed until after the next President takes office.,2000
"Even so, experts consider feeder failures an important warning sign.",2006
Mr. Obama's advisers went into the debate recognizing that incumbents often lose their first debate while seeking re-election in part because they have less time to prepare and in part because it is the first time a challenger is onstage as a peer with a president.,2012
"Russian operatives are also trying to push black extremist groups toward violence, according to multiple officials, though they did not detail how.",2020
"Without that sweep, his aides thought at the time, Mr. Sanders had little hope of overcoming his vast problems with black voters in the Southern primaries.",2016
"Republican Senate officials have said they want to raise the wage, but the governor has expressed reservations, and they are reluctant to put Mr. Pataki in a position of having to sign or veto such a bill.",2002
"""We have to be careful how this looks to the public,"" one Republican panel member said, insisting on anonymity while acknowledging the political risks inherent in going forward with a special session.",2000
"On the question of overthrow, the senior official said, ""We are looking at that given the realities on the ground, where Saddam Hussein is, where the opposition is.""",2001
"Mr. Obama's advisers have disputed those criticisms and sought to defuse them, pledging that the group would voluntarily disclose the names of all donors who give more than $250 and reject corporate and lobbyists' contributions.",2013
"Despite the governor's pronouncement in June, Puerto Rico has continued making bond payments on time, and officials have even said the commonwealth might borrow another $500 million.",2015
"Mr. Christie, whose popularity soared after Hurricane Sandy, is so eager to avoid appearing on the same ballot as Mr. Booker, according to Republican insiders, that he is considering two alternatives to a November election for Mr. Lautenberg's successor.",2013
"In the age of President Trump, the great disrupter of the way things have always worked, the architects and preservers of the old approach are still struggling to come to terms with how it has frayed.",2018
"Officials said banks would not be permitted to use their own capital for ""trading unrelated to serving customers.",2010
"American officials knew that a group of Russian military officers were in Baghdad, but they were clearly surprised when the Iraqi military's Joint Operations Command announced the intelligence sharing accord on Sunday.",2015
"On Monday, a correction official, who would speak only on the condition of anonymity because of department policy, said that Mr. Ponte had not seen the original audit when he promoted the two.",2014
"The German finance minister, Peer Steinbruck, also endorsed Mr. Zoellick's candidacy, administration and German officials said.",2007
"In interviews, many said they initially backed Mr. Trump because he was a businessman, not a politician.",2020
"Roger Entner, a wireless industry analyst with the Yankee Group, a market research firm, characterized Verizon's change in policy as ""a 180-degree turn"" that removed the single biggest obstacle to portability.",2003
"While critics say these moves could water down the new law, the administration says it is responding to concerns from employers and others that many workers have no other alternative.",2010
"Mr. Gray said that even though he was a Republican, he would not enter the Republican primary, saying Mr. Bloomberg's personal wealth made a win impossible.",2001
"Some sellers laughed when they heard that but sounded willing to go forward with the sales, city officials said.",2011
"Even putting the presidential race aside, the friction between Republican insiders and outsiders will almost certainly manifest itself next year in other ways.",2011
"Investigators over the weekend were also running the names of British suspects through law enforcement databases in the United States, a federal official said, to see if any of them had visited the country recently or shared an address or made telephone calls to anyone living in the United States.",2007
"Texting car drivers, according to a University of Utah study using a driving simulator, are eight times more likely to crash.",2009
"""The most important thing the new administration can do at a moment when the collective psyche has been so shattered is to spend money now on tangible things,"" said Mark Zandi, chief economist at Moody's Economy.com, who advised John McCain's presidential campaign.",2008
"On April 13, Pacronym switched its large-scale ads on Facebook to news clips of health care professionals running out of personal protective equipment; one clip featuring an NBC report about nurses forced to wear garbage bags to protect themselves reached as many as three million people, according to Facebook's ad library.",2020
"While the White House has refused to identify the nationality of the hackers, others familiar with the investigation said that in both the White House and State Department cases, all signs pointed to Russians.",2015
The official spoke on the condition of anonymity.,2015
Advocates and immigration lawyers also say the administration is abandoning a moral duty by the United States to be a world leader in the effort to help people in dire situations.,2019
"Instead, he allowed conservative organizers like Phyllis Schlafly to shape what many advocates say is the most conservative platform in the party's history.",2008
"Indeed, 10 ZIP codes in 2016 accounted for $500 million of the $5 billion total raised in all federal elections, according to an analysis by The New York Times of data from Open Secrets, a campaign finance watchdog.",2017
"In October, a small team of Silicon Valley researchers plans to turn software originally designed to search for evidence of extraterrestrial life to the task of looking for evidence of artificial life generated on a cluster of high-performance computers.",2009
"But many people probably don't know that third parties, like ad networks, analytics companies and data brokers, may also gain access to that information, security experts say.",2012
"These include the Oregon assisted-suicide case that was argued Oct. 5, as well as an abortion case from New Hampshire that raises an important procedural issue, to be argued on Nov. 30.",2005
"One of Mrs. Clinton's chief advisers is Mark Penn, who was a pollster for President Clinton in 1996, and was described by aides as one of the driving forces behind her decision to embrace this idea.",2000
Some say they lacked courage but they made their best judgments based on facts as they understood them at the time.,2017
"JACKSONVILLE, Fla. -- Anti-money laundering specialists at Deutsche Bank recommended in 2016 and 2017 that multiple transactions involving legal entities controlled by Donald J. Trump and his son-in-law, Jared Kushner, be reported to a federal financial-crimes watchdog.",2019
"Administration officials say that if the Colombia deal is to be passed this year, they cannot afford to wait for a consensus before submitting it.",2008
The last variety is anonymous hate.,2015
"Representative Luis V. Gutierrez, Democrat of Illinois, said he had no intention of paying his dues of $250,000, assessed because of his seniority on the Financial Services Committee.",2006
"Yet support for the euro was highest, the poll found, perhaps showing Greek preferences as they head into new parliamentary elections on June 17 that could determine their future in the currency union.",2012
"This is what ""rigging an election"" looks like. pic.twitter.com/oPUb4v3ro6 -- Matthew Ciszek (@mciszek) October 17, 2016 A city councilman in Murrysville, near Pittsburgh, was among the people to share such images, according to Billy Penn, a news site in Philadelphia.",2016
"A recent Obama event at George Clooney's home demonstrates why: The campaign collected $15 million, according to organizers.",2012
"Sergeant Jawed's background check was clean, a security official aware of the developments said.",2020
"Police officers were injured, and the police commissioner said his department was outnumbered in its own city.",2015
"But for the most part, experts say the grid is not being changed, at least not on a scale big enough to make much difference.",2013
"That said, New Jersey's legislators are seeing some troubling signs.",2001
"An initial draft of Mr. Paterson's speech was prepared by aides, his advisers said, and he spent considerable time editing, memorizing and practicing the final address.",2008
"Moreover, some analysts said the liability issue touched a nerve with businesses and many conservatives.",2001
"In lawsuits and elsewhere, voting-rights advocates and Democrats have taken aim at state rules on voting that they see as discriminatory.",2020
"The community groups that I worked with through the years,"" he said, ""they cannot handle this one on their own.",2013
"Pointing to embezzlement of hundreds of thousands of dollars by the presidents of the ironworkers union and Washington's teachers union, Labor Department officials say the number of audits fell too far in the 1990's and needs to be restored to previous levels.",2005
"Zumthor's plan for the hotel resembles a squashed doughnut, which I would recall one evening when he remarked over drinks that while his work ""is close to Le Corbusier because we share the same culture,"" he wished to ""make a design on the scale of Oscar Niemeyer.",2011
"The United States attorney's office also indicted Mr. Andrews's sister-in-law, Lisa A. Thiesfield, a former low-level aide to Mr. Rowland who was also Mr. Silvester's re-election campaign manager in 1998.",2000
"It was such a beautiful trip, he said to a group of business owners, that he is going to use his ""bully pulpit"" to get people to come to Yellowstone to do the same.",2006
"""We are really truly in uncharted waters.""",2020
Some supporters of Mr. Obama's position say he nonetheless offered a less-complete answer at the debate that gave fodder to his critics.,2008
"Today, at the first such session, 150 African-Americans from civic, civil-rights and labor organizations gathered in the East Room for a political rally that was officially billed as a budget briefing.",2000
"And though residents are tired of corruption and high taxes and say they are leery of Mr. Corzine's much-anticipated plan to squeeze more money out of the New Jersey Turnpike, recent polls indicate that no single issue has galvanized the public.",2007
"Chief Justice Rehnquist defied the expectations of many, however, in voting in June 2000 to reaffirm one of the Warren Court's most famous and disputed rulings, Miranda v. Arizona, which required the police, as a protection against coerced confessions, to advise suspects of their right to counsel and to remain silent.",2005
"On Monday, the Financial Services Forum, an association of 19 chief executives of financial firms, said it was dropping out of Compass because the members were now split on whether to lobby for personal accounts.",2005
"Along similar lines, Jonathan Gruber, an economist at the Massachusetts Institute of Technology, has conducted a mischievous experiment on the relationship between religious giving and religious observance.",2008
"Several analysts said the victory in the Massachusetts Senate race of Scott Brown, a Republican who ran with Tea Party support, could encourage more challenges and drive incumbents further right.",2010
Some officials predicted yesterday that he would stay at least through the opening of school in September.,2002
"RIGHT now, the candidates wooing Silicon Valley for cash are steering clear of such discussions.",2000
"At a December conference hosted by the Niskanen Center, a right-of-center think tank, Mr. Hogan spoke briefly with William Kristol, an implacable Trump critic in the conservative press, who argued that the president is weaker than widely understood, people briefed on the conversation said.",2019
"Researchers have also found links between the virus's effects and age, race and the weather, and have noted that some of the densest cities globally have not been hit as hard.",2020
"The government has looked for ways to get around that ruling, and political observers said the legal battles against Mr. Simeus could force the elections to be delayed until next year.",2005
"Her investments, like her husband's, are handled by outside financial advisers, she has said, and those advisers alerted her about the transactions in question only well after they were made.",2020
"David Owen, president of the state Chamber of Commerce, who is leading the campaign opposing the initiative, said lobbyists in the state play an important role in educating legislators about topics in which lobbyists have expertise.",2018
"To another, a senior in the welding program, Mr. Rubio said that, as a society, ""we have to stop stigmatizing"" blue-collar jobs. """,2015
"""We simply can't go to the next election cycle as underfunded as we were compared to the Democratic candidates in the target races,"" Matt Mackowiak, a Republican strategist, said in an interview.",2019
"The board includes two former government officials: Oliver Revell, president of the Revell Group International and former assistant director of the Federal Bureau of Investigation, and Harry Soyster, vice president of the Washington consultants Military Professional Resources Inc. and a former lieutenant general in the Army who directed the Defense Intelligence Agency.",2003
"Many voters here, interviewed on a recent gray and frigid day threatening snow at 7,500 feet in the mountains, said they thought that gridlock in Washington and a stalemate over partisan politics were possible outcomes with a divided government and a passionately aroused, divided population at home.",2010
Several New York officials had said privately that the governor needed to visit Washington as soon as possible before Congress adjourned in the next few weeks.,2012
These experts urged that these rules be adopted by every country.,2001
"The Institute of Medicine is a widely respected organization that assembles experts to study a range of health-related issues, often at the request of government agencies.",2011
"Lawmakers and fellow lobbyists compared Mr. Hastert's qualities as a lobbyist to those he displayed as speaker: affable and low key, but attractive to clients.",2015
"The Department of Health and Human Services said that as part of the $1.8 billion package it would also request new money to accelerate and increase the production of the vaccine for smallpox, widely seen as another grave bioterrorism threat; to improve hospital preparedness for a bioterrorism attack; to hire more epidemiologists; and to improve security at laboratories handing bioterror agents.",2001
"Those officers will not be required to ask every woman if she is pregnant, but they will be expected to apply additional scrutiny if, through the course of an interview, they come to suspect that a woman is traveling to the United States specifically to give birth, State Department officials said.",2020
Department officials had said they were unaware of such consultation.,2007
"But in a series of incremental announcements over the past week, CNN and the Democratic National Committee declared that there would be no live audience; that the debate would be moved to Washington; and that one of the planned moderators, Jorge Ramos, would be replaced because he might have been exposed to the coronavirus.",2020
Republican strategists say his style fits the moment; even a pro-business candidate with unanswered questions can win in a race against a Democrat in office.,2010
"We get so many requests from everybody; advocates -- the media, elected officials and the public -- that we now have to triage requests.",2002
Both men said it was not yet clear in what form the United States would contribute to the so-called spearhead rapid deployment force approved by NATO leaders at their summit meeting this month.,2014
And what official sitting in earshot of a deputy mayor or the mayor himself would dare to engage in small talk or gossip?,2002
"Democrats called the meeting ""contentious"" while the president and Republican leaders in the House called it ""productive.""",2019
""" He went out of his way to compliment her, saying the Justice Department trusted her to decide because of her expertise in such cases and ""this court's record of thoughtful analysis and fair sentences.""",2020
"Joanna Rees, an entrepreneur, collected $206,000, according to the Ethics Commission.",2011
"Several mayoral candidates said they supported Mr. Bloomberg's intentions, while also pointing out problems with his plan.",2013
"While the two principals deny there is any tension, their aides and junior ministers keep the dispute alive by briefing reporters about their bosses' competing interests.",2002
Critics of the administration say the disputes suggest that President Obama has failed to live up to his promise to change the domineering dynamics of the United States' relations with the region.,2010
Consular officers were already unlikely to grant visas to women they believed were traveling to the United States solely to give birth.,2020
"The Republican-led State House voted Monday to complete an override of a veto by Gov. Mike Beebe, a Democrat, of a law requiring voters to show photo identification.",2013
"The rules will allow for the committee's staff aides to question witnesses directly during public hearings, according to an official working on the inquiry who described the measure on condition of anonymity because it had yet to be made public.",2019
"WASHINGTON -- The United States and Iran have agreed in principle for the first time to one-on-one negotiations over Iran's nuclear program, according to Obama administration officials, setting the stage for what could be a last-ditch diplomatic effort to avert a military strike on Iran.",2012
"And it was just one in a series of moments that have left scientists and regulators across the public health bureaucracy increasingly worried that the White House could exert greater pressure to approve a vaccine before Election Day, even in the absence of agreement on its effectiveness and safety.",2020
"The denial of a visit to the White House by the Warriors was not the first time the president tried to pre-empt a snub by dealing one of his own; last month, he abruptly announced that he was disbanding two of his business advisory councils after some members said they would resign from them to protest his equivocating response to racially charged violence in Charlottesville, Va., at a march organized by neo-Nazis and white supremacists.",2017
Newspaper reporters also said they had suddenly found they no longer have such an easy time getting onto the front page.,2004
Justice Department officials told the Arizona attorney general and aides to the governor on Friday that the federal government had serious reservations about the state's new immigration law.,2010
"But in interviews, donors and strategists involved in the effort said they also did not believe they could match advertising spending by leading conservative groups like American Crossroads and Americans for Prosperity, and instead wanted to exploit what they see as the Democrats' advantage in grass-roots organizing. """,2012
